Date,SPX,USO,SLV,EUR/USD,GLD
2010-06-16,84.35,283.92,18.08,1.2312,120.33
2010-06-17,84.48,281.12,18.33,1.2382,121.9
2010-06-18,84.57,283.28,18.75,1.2393,122.83
2010-06-21,84.33,282.64,18.33,1.2316,120.39
2010-06-22,82.94,280.0,18.42,1.2275,121.45
2010-06-23,82.68,273.92,18.18,1.2319,120.95
2010-06-24,81.31,275.12,18.26,1.2337,121.3
2010-06-25,81.65,285.28,18.67,1.2373,122.76
2010-06-28,81.39,281.68,18.38,1.2277,121.09
2010-06-29,78.88,273.36,18.13,1.2186,121.27
2010-06-30,78.13,271.68,18.21,1.223,121.68
2010-07-01,77.78,262.96,17.44,1.2508,117.04
2010-07-02,77.36,260.8,17.46,1.2571,118.49
2010-07-06,77.87,260.88,17.4,1.2624,116.51
2010-07-07,80.32,269.2,17.65,1.2633,117.73
2010-07-08,81.11,273.84,17.61,1.2694,117.21
2010-07-09,81.72,274.72,17.73,1.2644,118.36
2010-07-12,81.77,270.24,17.62,1.259,117.34
2010-07-13,83.01,277.92,17.82,1.2721,118.36
2010-07-14,83.0,277.28,17.96,1.274,118.3
2010-07-15,83.02,276.64,17.95,1.2929,118.23
2010-07-16,80.74,273.28,17.49,1.2932,116.67
2010-07-19,81.21,275.68,17.27,1.2939,115.73
2010-07-20,82.11,278.56,17.33,1.2893,116.65
2010-07-21,81.05,273.6,17.31,1.2768,115.85
2010-07-22,82.85,283.36,17.71,1.2903,116.86
2010-07-23,83.57,283.12,17.72,1.2913,116.09
2010-07-26,84.44,282.8,17.78,1.2999,115.52
2010-07-27,84.44,277.36,17.3,1.2991,113.51
2010-07-28,83.89,274.88,17.16,1.2992,113.78
2010-07-29,83.48,280.48,17.24,1.3078,114.29
2010-07-30,83.47,282.72,17.58,1.3039,115.49
2010-08-02,85.35,291.84,17.96,1.3176,115.54
2010-08-03,84.94,295.28,18.02,1.3225,115.99
2010-08-04,85.51,295.2,17.93,1.3225,116.72
2010-08-05,85.42,293.68,17.96,1.3158,116.98
2010-08-06,85.07,289.6,18.07,1.3181,117.84
2010-08-09,85.53,292.24,17.96,1.3286,117.4
2010-08-10,85.07,286.96,17.97,1.323,117.73
2010-08-11,82.73,277.92,17.53,1.3185,117.34
2010-08-12,82.23,271.36,17.69,1.2844,118.77
2010-08-13,81.98,270.32,17.74,1.283,118.74
2010-08-16,81.95,268.88,18.0,1.2771,119.73
2010-08-17,82.95,270.96,18.12,1.2812,119.75
2010-08-18,83.1,269.44,18.02,1.288,120.22
2010-08-19,81.66,266.0,17.92,1.2856,120.39
2010-08-20,81.39,263.6,17.59,1.2808,119.97
2010-08-23,81.08,259.44,17.61,1.271,119.78
2010-08-24,79.88,254.16,17.99,1.2635,120.36
2010-08-25,80.19,258.96,18.54,1.2633,121.36
2010-08-26,79.65,260.96,18.59,1.2664,120.96
2010-08-27,80.89,268.56,18.7,1.2706,121.01
2010-08-30,79.71,264.16,18.63,1.2754,120.91
2010-08-31,79.71,255.36,18.93,1.2666,122.08
2010-09-01,82.1,263.6,18.96,1.2687,121.69
2010-09-02,82.86,267.12,19.28,1.2803,122.29
2010-09-03,83.94,264.72,19.42,1.2826,121.86
2010-09-07,82.99,262.16,19.36,1.2868,122.7
2010-09-08,83.57,265.12,19.5,1.2678,122.71
